device_vendor,device_type,[HostAndAudience]AudioAndVideoDurationMinutes
samsung,sm-g991u1,259678.55000000000
samsung,sm-g998b,258522.51666666700
google,pixel 7,257792.9166666670
samsung,sm-s921u,256520.7166666670
samsung,sm-a145m,255759.33333333300
samsung,sm-a057f,255463.58333333300
samsung,sm-s916u,254541.61666666700
samsung,sm-a045f,250461.06666666700
samsung,sm-g780g,249544.40000000000
samsung,sm-a166u,249396.31666666700
samsung,sm-a556b,248944.65000000000
samsung,sm-m135fu,248724.68333333300
samsung,sm-a546u,248716.50000000000
samsung,sm-s928u1,247773.06666666700
samsung,sm-a035f,247432.2166666670
samsung,sm-a225f,246699.20000000000
samsung,sm-a166u,246470.76666666700
samsung,sm-a556b,245787.8
samsung,sm-g990e,245222.6000000000
samsung,sm-a045f,244486.35000000000
google,pixel 8 pro,244019.71666666700
samsung,sm-g988u,243302.28333333300
samsung,sm-f956u1,243047.5333333330
samsung,sm-a346b,242691.0166666670
samsung,sm-n986b,241845.0333333330
samsung,sm-g781u,241603.55000000000
samsung,sm-a065f,241527.38333333300
google,pixel 6a,241340.80000000000
samsung,sm-e135f,241303.18333333300
samsung,sm-g610f,241095.86666666700
samsung,sm-s921b,239819.35000000000
samsung,sm-g780g,239760.96666666700
samsung,sm-s926u,239735.45000000000
samsung,sm-m156b,238047.30000000000
samsung,sm-g998u,236538.31666666700
samsung,sm-a115f,235538.66666666700
samsung,sm-a536b,235459.5666666670
samsung,sm-a326b,235154.06666666700
samsung,sm-g990b2,234542.43333333300
samsung,sm-s901u,234075.45000000000
samsung,sm-g981u,232720.48333333300
samsung,sm-s926b,232489.58333333300
samsung,sm-a716u,232184.96666666700
samsung,sm-m127g,230692.80000000000
samsung,sm-s916u,228904.2333333330
google,pixel 7,227024.4333333330
samsung,sm-s134dl,226958.10000000000
samsung,scg13,226124.66666666700
samsung,sm-s906u,225195.76666666700
samsung,sm-f721u,225109.91666666700
samsung,sm-s156v,223716.33333333300
samsung,sm-s926u,223486.13333333300
samsung,sm-s926u,223295.2833333330
samsung,sm-a526u,223015.1166666670
samsung,sm-a135m,222729.40000000000
samsung,sm-m346b,222595.05000000000
samsung,sm-a055m,222487.68333333300
samsung,sm-a225f,222441.6666666670
samsung,sm-s136dl,222001.4333333330
samsung,sm-g998b,221548.18333333300
samsung,sm-m135fu,218085.78333333300
samsung,sm-a245f,217959.00000000000
samsung,sm-a336e,217253.55000000000
samsung,sm-a536b,216656.2666666670
samsung,sm-n986u1,216266.38333333300
samsung,sm-a505f,215568.25000000000
samsung,sm-n986u,214755.35
samsung,sm-a105f,214750.05000000000
samsung,sm-a546b,214341.0166666670
samsung,sm-s908b,214165.33333333300
samsung,sm-s921u,213564.83333333300
samsung,sm-g950u,211281.40000000000
samsung,sm-s918u1,210566.1
samsung,sm-s906u1,208909.53333333300
samsung,sc-03l,208644.71666666700
samsung,sm-t220,208387.83333333300
samsung,sm-s134dl,208387.20000000000
samsung,sm-m307f,208216.30000000000
samsung,sm-a556b,208163.96666666700
samsung,sm-a125u,207973.56666666700
samsung,sm-s546vl,207487.48333333300
samsung,sm-s938b,206457.93333333300
samsung,sm-s911u,206220.01666666700
samsung,sm-g960f,205627.08333333300
samsung,sm-a125u,204487.6666666670
samsung,sm-x200,204454.71666666700
samsung,sm-f711u,204355.66666666700
samsung,sm-a205f,204280.95000000000
samsung,sm-s711b,203345.43333333300
samsung,sm-g960u,202065.58333333300
samsung,sm-a217m,201469.65000000000
samsung,sm-m127f,201226.7666666670
samsung,sm-n950u,201113.21666666700
samsung,sm-g990e,200374.96666666700
samsung,sm-s256vl,199919.5833333330
samsung,sm-g960f,199355.81666666700
samsung,sm-g991u,197440.5
samsung,sm-e156b,196886.28333333300
samsung,sm-s911u1,195677.36666666700
samsung,sm-s721u,195596.1333333330
samsung,sm-n950f,195368.06666666700
samsung,sm-g973f,195045.7333333330
samsung,sm-g950f,194783.15000000000
samsung,sm-s901u,194618.90000000000
samsung,sm-g975f,194206.83333333300
samsung,sm-a207f,193981.18333333300
samsung,sc-53c,193586.35
samsung,sm-s901u1,193524.68333333300
samsung,sm-s536dl,191537.8500000000
samsung,sm-a346m,191495.8000000000
samsung,sm-g990b2,191481.93333333300
samsung,sm-s916u,191309.53333333300
samsung,sm-g975u,190191.90000000000
samsung,sm-s908e,189350.3833333330
samsung,sm-s918w,189057.68333333300
samsung,sm-a145f,187573.78333333300
samsung,sm-t220,187366.31666666700
samsung,sm-s135dl,186778.63333333300
samsung,sm-g990b2,186454.18333333300
samsung,sm-g996b,186397.28333333300
samsung,sm-a356u,186297.3833333330
google,pixel 8 pro,185953.7166666670
samsung,sm-a105f,185652.10000000000
samsung,sm-m515f,185346.2333333330
samsung,sm-g990u,185253.6
samsung,sm-a236e,185108.9333333330
samsung,sm-a426u,184735.06666666700
samsung,sm-g610f,184574.53333333300
samsung,sm-a055m,184307.31666666700
samsung,sm-a166u,184072.36666666700
samsung,sm-g965u,184053.05000000000
google,pixel 7a,183589.65
samsung,sm-g950f,183509.83333333300
google,pixel 7,182990.76666666700
samsung,sm-a135f,182838.03333333300
samsung,sm-a236u,182546.7666666670
samsung,sm-s938u,181945.61666666700
samsung,sm-s906u,181886.20000000000
samsung,sm-s928w,181849.06666666700
samsung,sm-g780f,181579.25000000000
samsung,sm-a156m,181399.43333333300
